Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-06-23,89.531,89.604,88.721,89.209,1728100,0.0,0.0
2017-06-26,89.613,89.613,88.712,88.758,1783500,0.0,0.0
2017-06-27,88.565,89.337,88.353,88.675,1505500,0.0,0.0
2017-06-28,89.126,89.871,89.006,89.043,1141400,0.0,0.0
2017-06-29,88.694,88.785,87.093,87.949,2109200,0.0,0.0
2017-06-30,88.261,88.694,88.068,88.28,1290300,0.0,0.0
2017-07-03,88.362,88.556,88.031,88.123,778000,0.0,0.0
2017-07-05,88.096,88.556,87.774,88.04,1441600,0.0,0.0
2017-07-06,87.691,87.93,86.707,87.231,1575500,0.0,0.0
2017-07-07,87.553,87.608,86.504,86.716,1570500,0.0,0.0
2017-07-10,86.744,86.992,86.063,86.707,2577700,0.0,0.0
2017-07-11,86.826,86.854,85.953,86.33,1764500,0.0,0.0
2017-07-12,86.9,87.397,86.624,86.937,1553500,0.0,0.0
2017-07-13,87.148,87.498,86.826,87.13,965900,0.0,0.0
2017-07-14,87.277,87.967,87.084,87.663,952700,0.0,0.0
2017-07-17,87.553,89.098,87.314,88.482,1705100,0.0,0.0
2017-07-18,88.528,88.74,88.224,88.565,1138500,0.0,0.0
2017-07-19,88.721,89.374,88.565,89.163,1065300,0.0,0.0
2017-07-20,89.494,89.99,89.236,89.319,1111200,0.0,0.0
2017-07-21,88.997,90.147,88.997,90.092,1163200,0.0,0.0
2017-07-24,89.972,90.055,89.291,89.908,859000,0.0,0.0
2017-07-25,90.248,91.149,90.11,90.827,2067600,0.0,0.0
2017-07-26,90.827,91.204,90.312,90.984,2039600,0.0,0.0
2017-07-27,91.278,91.572,90.45,91.545,1699400,0.0,0.0
2017-07-28,91.333,91.526,90.662,91.057,1532100,0.0,0.0
2017-07-31,91.296,91.812,90.625,91.048,2250200,0.0,0.0
2017-08-01,91.03,91.278,90.459,90.699,1592000,0.0,0.0
2017-08-02,90.358,90.873,89.742,90.588,1717400,0.0,0.0
2017-08-03,90.533,90.855,90.239,90.294,1046300,0.0,0.0
2017-08-04,90.459,90.892,90.147,90.671,1013900,0.0,0.0
2017-08-07,90.542,92.915,90.441,92.465,2231700,0.0,0.0
2017-08-08,92.29,93.274,92.032,92.952,2128900,0.0,0.0
2017-08-09,92.759,96.116,92.603,95.445,7523500,0.0,0.0
2017-08-10,94.755,96.006,93.099,93.532,4764900,0.0,0.0
2017-08-11,93.725,94.12,91.067,91.655,3592400,0.0,0.0
2017-08-14,92.06,93.623,91.986,93.016,2687700,0.0,0.0
2017-08-15,93.338,93.486,92.455,92.934,1702400,0.0,0.0
2017-08-16,92.777,93.817,92.391,92.961,2034100,0.0,0.0
2017-08-17,93.035,93.173,90.285,90.432,4479400,0.0,0.0
2017-08-18,94.562,97.91,93.817,97.422,8925800,0.0,0.0
2017-08-21,96.935,98.397,96.622,97.937,3541900,0.0,0.0
2017-08-22,98.498,99.253,96.475,96.769,4659500,0.0,0.0
2017-08-23,96.576,96.99,95.665,96.07,3201200,0.0,0.0
2017-08-24,96.383,97.643,96.134,97.505,2511000,0.0,0.0
2017-08-25,96.815,98.553,96.502,97.956,3170200,0.0,0.0
2017-08-28,96.576,98.241,95.932,97.459,3841500,0.0,0.0
2017-08-29,97.404,98.271,97.071,97.533,1826500,0.34,0.0
2017-08-30,97.487,98.188,97.034,97.496,1805000,0.0,0.0
2017-08-31,97.81,98.825,97.505,98.723,2085000,0.0,0.0
2017-09-01,98.732,99.821,98.474,99.59,2360600,0.0,0.0
2017-09-05,99.157,99.978,99.092,99.609,1632600,0.0,0.0
2017-09-06,99.941,100.209,98.603,99.72,1520400,0.0,0.0
2017-09-07,100.172,100.338,99.24,99.867,1467900,0.0,0.0
2017-09-08,99.84,100.439,99.406,100.402,1387900,0.0,0.0
2017-09-11,100.744,101.353,100.246,100.338,2548000,0.0,0.0
2017-09-12,100.153,101.131,100.153,100.485,2438400,0.0,0.0
2017-09-13,100.855,101.473,100.744,101.187,1302600,0.0,0.0
2017-09-14,100.956,101.528,100.624,101.51,1227900,0.0,0.0
2017-09-15,101.842,102.414,100.716,101.214,1896800,0.0,0.0
2017-09-18,101.537,101.787,101.233,101.75,952300,0.0,0.0
2017-09-19,101.75,101.897,101.491,101.823,1061900,0.0,0.0
2017-09-20,101.842,102.303,100.984,101.713,1438200,0.0,0.0
2017-09-21,101.464,101.602,99.83,99.886,1402700,0.0,0.0
2017-09-22,100.236,100.725,99.009,99.267,2173300,0.0,0.0
